| fixture | lane | ok | bytes | sha | concat imports | resolve arm | emitStringConcat | many-arity | batched | linear | demoted |
|---|---|---|---|---|---|---|---|---|---|---|---|
| CAT | gc-host | y | 153 | 60eb285f94e6 | func:wasm:js-string.concat#0 | host:concat | provider/immutable=1 | - | 0 | - | - |
| CAT | gc-native-strings | y | 22418 | 8332885e9560 | - | native:concat→__str_concat | provider/immutable=1 | - | 0 | - | - |
| CAT | standalone | y | 22582 | 711df4930f81 | - | native:concat→__str_concat | provider/immutable=1 | - | 0 | - | - |
| CAT | wasi | y | 22609 | d078e2ff720c | - | native:concat→__str_concat | provider/immutable=1 | - | 0 | - | - |
| CAT | linear | y | 4882 | 99992a0595c1 | - | - | - | - | 0 | immutable=1 | - |
| CAT3 | gc-host | y | 149 | 4677a84a2dcd | func:env.__concat_3#0 | - | - | host×3 | 1 | - | - |
| CAT3 | gc-native-strings | y | 22425 | 0ef7932fe1c9 | - | native:concat→__str_concat | provider/immutable=2 | - | 0 | - | - |
| CAT3 | standalone | y | 22931 | 68190413f897 | - | - | - | native×3 | 1 | - | - |
| CAT3 | wasi | y | 22616 | 3a982a7b069d | - | native:concat→__str_concat | provider/immutable=2 | - | 0 | - | - |
| CAT3 | linear | y | 4889 | 92c095bb61fb | - | - | - | - | 0 | immutable=1 | - |
| CAT4 | gc-host | y | 152 | 99609ea13570 | func:env.__concat_4#0 | - | - | host×4 | 1 | - | - |
| CAT4 | gc-native-strings | y | 22429 | dc08350002ca | - | native:concat→__str_concat | provider/immutable=3 | - | 0 | - | - |
| CAT4 | standalone | y | 23013 | 5a7dc70a6075 | - | - | - | native×4 | 1 | - | - |
| CAT4 | wasi | y | 22620 | 62180548a018 | - | native:concat→__str_concat | provider/immutable=3 | - | 0 | - | - |
| CAT4 | linear | y | 4894 | 65c63fef4d5c | - | - | - | - | 0 | immutable=1 | - |
| TPL | gc-host | y | 173 | a6702c76db07 | func:env.__concat_3#0 | - | - | host×3 | 1 | - | - |
| TPL | gc-native-strings | y | 22460 | 0d03cf2e8fd7 | - | native:concat→__str_concat | provider/immutable=2 | - | 0 | - | - |
