| fixture | lane | ok | bytes | sha | concat-ish imports | reaches | demoted |
|---|---|---|---|---|---|---|---|
| CAT | gc-host | y | 153 | 60eb285f94e6 | wasm:js-string.concat#0 | - [batch-decision:unchanged(host)=1] | - |
| CAT | gc-native-strings | y | 22418 | 8332885e9560 | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| CAT | standalone | y | 22582 | 711df4930f81 | - | - [batch-decision:unchanged(standalone)=1] | - |
| CAT | wasi | y | 22609 | d078e2ff720c | - | - [batch-decision:unchanged(none)=1] | - |
| CAT | linear | y | 4882 | 99992a0595c1 | - | - | - |
| CAT | gc-strict | y | 21967 | 84eb4b5706bb | - | - [batch-decision:unchanged(none)=1] | - |
| CAT3 | gc-host | y | 149 | 4677a84a2dcd | env.__concat_3#0 | batch-root:many×3(leaves 3)=1; batch-decision:changed(host)=1; concat-many:host×3=1; late-import:__concat_3-new@imp5=1; flush:+1@5(defined 1)=1 | - |
| CAT3 | gc-native-strings | y | 22425 | 0ef7932fe1c9 | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| CAT3 | standalone | y | 22931 | 68190413f897 | - | batch-root:many×3(leaves 3)=1; batch-decision:changed(standalone)=1; concat-many:native×3=1; native-batched:3-mint=1 | - |
| CAT3 | wasi | y | 22616 | 3a982a7b069d | - | - [batch-decision:unchanged(none)=1] | - |
| CAT3 | linear | y | 4889 | 92c095bb61fb | - | - | - |
| CAT3 | gc-strict | y | 21974 | 193f59597292 | - | - [batch-decision:unchanged(none)=1] | - |
| CAT4 | gc-host | y | 152 | 99609ea13570 | env.__concat_4#0 | batch-root:many×4(leaves 4)=1; batch-decision:changed(host)=1; concat-many:host×4=1; late-import:__concat_4-new@imp5=1; flush:+1@5(defined 1)=1 | - |
| CAT4 | gc-native-strings | y | 22429 | dc08350002ca | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| CAT4 | standalone | y | 23013 | 5a7dc70a6075 | - | batch-root:many×4(leaves 4)=1; batch-decision:changed(standalone)=1; concat-many:native×4=1; native-batched:4-mint=1 | - |
| CAT4 | wasi | y | 22620 | 62180548a018 | - | - [batch-decision:unchanged(none)=1] | - |
| CAT4 | linear | y | 4894 | 65c63fef4d5c | - | - | - |
| CAT4 | gc-strict | y | 21978 | 61da80ba98df | - | - [batch-decision:unchanged(none)=1] | - |
| CAT5 | gc-host | y | 155 | 7d12d6f80126 | env.__concat_5#0 | batch-root:many×5(leaves 5)=1; batch-decision:changed(host)=1; concat-many:host×5=1; late-import:__concat_5-new@imp5=1; flush:+1@5(defined 1)=1 | - |
| CAT5 | gc-native-strings | y | 22448 | 4702b028c298 | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| CAT5 | standalone | y | 23110 | a62aa9acab3f | - | batch-root:many×5(leaves 5)=1; batch-decision:changed(standalone)=1; concat-many:native×5=1; native-batched:5-mint=1 | - |
| CAT5 | wasi | y | 22639 | 3658b52f305e | - | - [batch-decision:unchanged(none)=1] | - |
| CAT5 | linear | y | 4899 | 61c3221ccc89 | - | - | - |
| CAT5 | gc-strict | y | 21997 | c0e87ab51cb0 | - | - [batch-decision:unchanged(none)=1] | - |
| CAT8 | gc-host | y | 164 | a52f3eadc503 | env.__concat_8#0 | batch-root:many×8(leaves 8)=1; batch-decision:changed(host)=1; concat-many:host×8=1; late-import:__concat_8-new@imp5=1; flush:+1@5(defined 1)=1 | - |
