| fixture | lane | ok | bytes | sha12 | charCodeAt/length imports | reaches | helpers in wat | demoted |
|---|---|---|---|---|---|---|---|---|
| LOOP | gc-host | y | 313 | d05f4670b197 | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.hashStr@0 global:string_constants.@1 | plan:charReadPlan/host-trusted=1 fromast:provenRead-i32pure/trusted=1 resolve:6437/host-trusted=1 | __jsstr_charCodeAt_trusted | - |
| LOOP | gc-native-strings | y | 22601 | cbda921b0e74 | - | plan:charReadPlan/native-hoist=1 fromast:provenRead-i32pure/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOP | standalone | y | 22765 | 346ffb3ec606 | - | plan:charReadPlan/native-hoist=1 fromast:provenRead-i32pure/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOP | wasi | y | 22792 | 8d4b1f93715b | - | plan:charReadPlan/native-hoist=1 fromast:provenRead-i32pure/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOP | linear | N | 0 | e3b0c44298fc | - | linear:plan/linear-runtime=1 fromast:planCall/__linear_ir_str_char_code_at=1 | - | COMPILE-FAIL: Codegen error: Unsupported method call: .charCodeAt() |
| LOOPSUM | gc-host | y | 309 | df45ced9493b | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.sum@0 global:string_constants.@1 | plan:charReadPlan/host-trusted=1 fromast:provenRead/trusted=1 resolve:6437/host-trusted=1 | __jsstr_charCodeAt_trusted | - |
| LOOPSUM | gc-native-strings | y | 22601 | 454cd76972de | - | plan:charReadPlan/native-hoist=1 fromast:provenRead/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOPSUM | standalone | y | 22765 | 343462d0d0ba | - | plan:charReadPlan/native-hoist=1 fromast:provenRead/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOPSUM | wasi | y | 22792 | 3d55a511e5e8 | - | plan:charReadPlan/native-hoist=1 fromast:provenRead/hoist=1 resolve:6425/native-flatten=1 resolve:6425/native-flat=1 | __str_flat_charCodeAt __str_flatten | - |
| LOOPSUM | linear | N | 0 | e3b0c44298fc | - | linear:plan/linear-runtime=1 fromast:planCall/__linear_ir_str_char_code_at=1 | - | COMPILE-FAIL: Codegen error: Unsupported method call: .charCodeAt() |
